Attaching to jenkins
jenkins  | Running from: /usr/share/jenkins/jenkins.war
jenkins  | webroot: EnvVars.masterEnvVars.get("JENKINS_HOME")
jenkins  | 2021-09-27 16:09:38.618+0000 [id=1]	INFO	org.eclipse.jetty.util.log.Log#initialized: Logging initialized @803ms to org.eclipse.jetty.util.log.JavaUtilLog
jenkins  | 2021-09-27 16:09:38.755+0000 [id=1]	INFO	winstone.Logger#logInternal: Beginning extraction from war file
jenkins  | 2021-09-27 16:09:38.800+0000 [id=1]	WARNING	o.e.j.s.handler.ContextHandler#setContextPath: Empty contextPath
jenkins  | 2021-09-27 16:09:38.900+0000 [id=1]	INFO	org.eclipse.jetty.server.Server#doStart: jetty-9.4.42.v20210604; built: 2021-06-04T17:33:38.939Z; git: 5cd5e6d2375eeab146813b0de9f19eda6ab6e6cb; jvm 11.0.12+7
jenkins  | 2021-09-27 16:09:39.328+0000 [id=1]	INFO	o.e.j.w.StandardDescriptorProcessor#visitServlet: NO JSP Support for /, did not find org.eclipse.jetty.jsp.JettyJspServlet
jenkins  | 2021-09-27 16:09:39.382+0000 [id=1]	INFO	o.e.j.s.s.DefaultSessionIdManager#doStart: DefaultSessionIdManager workerName=node0
jenkins  | 2021-09-27 16:09:39.383+0000 [id=1]	INFO	o.e.j.s.s.DefaultSessionIdManager#doStart: No SessionScavenger set, using defaults
jenkins  | 2021-09-27 16:09:39.385+0000 [id=1]	INFO	o.e.j.server.session.HouseKeeper#startScavenging: node0 Scavenging every 660000ms
jenkins  | 2021-09-27 16:09:40.050+0000 [id=1]	INFO	hudson.WebAppMain#contextInitialized: Jenkins home directory: /var/jenkins_home found at: EnvVars.masterEnvVars.get("JENKINS_HOME")
jenkins  | 2021-09-27 16:09:40.316+0000 [id=1]	INFO	o.e.j.s.handler.ContextHandler#doStart: Started w.@46b695ec{Jenkins v2.303.1,/,file:///var/jenkins_home/war/,AVAILABLE}{/var/jenkins_home/war}
jenkins  | 2021-09-27 16:09:40.361+0000 [id=1]	INFO	o.e.j.server.AbstractConnector#doStart: Started ServerConnector@7817fd62{HTTP/1.1, (http/1.1)}{0.0.0.0:8080}
jenkins  | 2021-09-27 16:09:40.365+0000 [id=1]	INFO	org.eclipse.jetty.server.Server#doStart: Started @2549ms
jenkins  | 2021-09-27 16:09:40.367+0000 [id=25]	INFO	winstone.Logger#logInternal: Winstone Servlet Engine running: controlPort=disabled
jenkins  | 2021-09-27 16:09:40.692+0000 [id=31]	INFO	jenkins.InitReactorRunner$1#onAttained: Started initialization
jenkins  | 2021-09-27 16:09:41.103+0000 [id=49]	INFO	jenkins.InitReactorRunner$1#onAttained: Listed all plugins
jenkins  | WARNING: An illegal reflective access operation has occurred
jenkins  | WARNING: Illegal reflective access by org.codehaus.groovy.reflection.CachedClass (file:/var/jenkins_home/war/WEB-INF/lib/groovy-all-2.4.12.jar) to method java.lang.Object.finalize()
jenkins  | WARNING: Please consider reporting this to the maintainers of org.codehaus.groovy.reflection.CachedClass
jenkins  | WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
jenkins  | WARNING: All illegal access operations will be denied in a future release
jenkins  | 2021-09-27 16:09:49.817+0000 [id=40]	INFO	jenkins.InitReactorRunner$1#onAttained: Prepared all plugins
jenkins  | 2021-09-27 16:09:49.838+0000 [id=43]	INFO	jenkins.InitReactorRunner$1#onAttained: Started all plugins
jenkins  | 2021-09-27 16:09:51.801+0000 [id=45]	INFO	jenkins.InitReactorRunner$1#onAttained: Augmented all extensions
jenkins  | 2021-09-27 16:09:52.170+0000 [id=40]	INFO	jenkins.InitReactorRunner$1#onAttained: System config loaded
jenkins  | 2021-09-27 16:09:52.206+0000 [id=31]	INFO	jenkins.model.RunIdMigrator#migrate: Migrating build records in /var/jenkins_home/jobs/jte-demo-declarative/builds
jenkins  | 2021-09-27 16:09:52.206+0000 [id=33]	INFO	jenkins.model.RunIdMigrator#migrate: Migrating build records in /var/jenkins_home/jobs/jte-demo-scripted/builds
jenkins  | 2021-09-27 16:09:52.231+0000 [id=31]	WARNING	jenkins.model.RunIdMigrator#migrate: Build record migration (https://www.jenkins.io/redirect/build-record-migration) is one-way. If you need to downgrade Jenkins, run: java -classpath "/var/jenkins_home/war/WEB-INF/lib/jenkins-core-2.303.1.jar:/var/jenkins_home/war/WEB-INF/lib/stapler-1563.v3da2d02f9572.jar:/var/jenkins_home/war/WEB-INF/lib/ant-1.10.10.jar:/var/jenkins_home/war/WEB-INF/lib/commons-lang-2.6.jar" jenkins.model.RunIdMigrator "/var/jenkins_home"
jenkins  | 2021-09-27 16:09:53.023+0000 [id=30]	WARNING	i.j.p.c.SecretSourceResolver$UnresolvedLookup#lookup: Configuration import: Found unresolved variable 'github-ci-token'. Will default to empty string
